UID,2020/9/15,2020/9/16,Equal
000815.SZ,6.7,6.7,TRUE
000816.SZ,1.47,1.47,TRUE
000818.SZ,22.38,22.38,TRUE
000819.SZ,7.46,7.46,TRUE
000820.SZ,1.17,1.17,TRUE
000821.SZ,6.39,6.39,TRUE
000822.SZ,4.22,4.22,TRUE
000823.SZ,14.47,14.47,TRUE
000825.SZ,3.7,3.7,TRUE
000826.SZ,7.96,7.96,TRUE
000828.SZ,9.86,9.86,TRUE
000829.SZ,6.82,6.82,TRUE
000830.SZ,9.42,9.42,TRUE
000831.SZ,13.28,13.28,TRUE
000833.SZ,4.88,4.88,TRUE
000835.SZ,2.12,2.12,TRUE
000836.SZ,3.4,3.4,TRUE
000837.SZ,5.7,5.7,TRUE
000838.SZ,3.01,3.01,TRUE
000839.SZ,2.74,2.74,TRUE
000848.SZ,7.66,7.66,TRUE
000850.SZ,3.8,3.8,TRUE
000851.SZ,7.03,7.03,TRUE
000852.SZ,4.96,4.96,TRUE
000856.SZ,8.94,8.94,TRUE
000858.SZ,230.33,230.33,TRUE
000859.SZ,5.56,5.56,TRUE
000860.SZ,68.19,68.19,TRUE
000861.SZ,3.48,3.48,TRUE
000862.SZ,3.99,3.99,TRUE
000863.SZ,4.06,4.06,TRUE
000868.SZ,3.46,3.46,TRUE
000869.SZ,32.95,32.95,TRUE
000875.SZ,4.08,4.08,TRUE
000876.SZ,31.05,31.05,TRUE
000877.SZ,19.81,19.81,TRUE
000878.SZ,14.48,14.48,TRUE
000880.SZ,9.19,9.19,TRUE
000881.SZ,9.28,9.28,TRUE
000882.SZ,2.06,2.06,TRUE
000883.SZ,3.84,3.84,TRUE
000885.SZ,10.8,10.8,TRUE
000886.SZ,5.85,5.85,TRUE
000887.SZ,10.39,10.39,TRUE
000888.SZ,6.41,6.41,TRUE
000889.SZ,7.2,7.2,TRUE
000890.SZ,2.56,2.56,TRUE
000892.SZ,3.89,3.89,TRUE
000893.SZ,8.77,8.77,TRUE
000895.SZ,52.19,52.19,TRUE
000897.SZ,2.71,2.71,TRUE
000898.SZ,2.67,2.67,TRUE
000899.SZ,4.63,4.63,TRUE
000900.SZ,3.83,3.83,TRUE
000901.SZ,11.67,11.67,TRUE
000902.SZ,11.42,11.42,TRUE
000903.SZ,6.46,6.46,TRUE
000905.SZ,6.91,6.91,TRUE
000906.SZ,7.19,7.19,TRUE
000908.SZ,5.2,5.2,TRUE
000909.SZ,8.49,8.49,TRUE
000910.SZ,19.2,19.2,TRUE
000911.SZ,7.36,7.36,TRUE
000912.SZ,4.36,4.36,TRUE
000913.SZ,25.6,25.6,TRUE
000915.SZ,27.96,27.96,TRUE
000917.SZ,6.35,6.35,TRUE
000918.SZ,5.09,5.09,TRUE
000919.SZ,6.71,6.71,TRUE
000920.SZ,7.83,7.83,TRUE
000921.SZ,13.22,13.22,TRUE
000922.SZ,6.82,6.82,TRUE
000923.SZ,13.16,13.16,TRUE
000925.SZ,8.39,8.39,TRUE
000926.SZ,5.62,5.62,TRUE
000927.SZ,4.18,4.18,TRUE
000928.SZ,4.22,4.22,TRUE
000929.SZ,9,9,TRUE
000930.SZ,8.89,8.89,TRUE
000931.SZ,8.71,8.71,TRUE
000932.SZ,5.1,5.1,TRUE
000933.SZ,5,5,TRUE
000935.SZ,14.47,14.47,TRUE
000936.SZ,8.92,8.92,TRUE
000937.SZ,3.75,3.75,TRUE
000938.SZ,27.59,27.59,TRUE
000939.SZ,1.05,1.05,TRUE
000948.SZ,13.28,13.28,TRUE
000949.SZ,3.33,3.33,TRUE
000950.SZ,5.4,5.4,TRUE
000951.SZ,39.56,39.56,TRUE
000952.SZ,8.8,8.8,TRUE
000953.SZ,5.05,5.05,TRUE
000955.SZ,9.27,9.27,TRUE
000957.SZ,7.17,7.17,TRUE
000958.SZ,4.77,4.77,TRUE
000959.SZ,4.33,4.33,TRUE
000960.SZ,9.36,9.36,TRUE
000961.SZ,9.26,9.26,TRUE
000962.SZ,8.14,8.14,TRUE
000963.SZ,24.82,24.82,TRUE
000965.SZ,3.37,3.37,TRUE
000966.SZ,3.82,3.82,TRUE
000967.SZ,8.45,8.45,TRUE
000968.SZ,8.15,8.15,TRUE
000969.SZ,7,7,TRUE
000970.SZ,10.16,10.16,TRUE
000971.SZ,2.62,2.62,TRUE
000972.SZ,2.65,2.65,TRUE
000973.SZ,4.97,4.97,TRUE
000975.SZ,15.97,15.97,TRUE
000976.SZ,6.32,6.32,TRUE
000977.SZ,31.23,31.23,TRUE
000978.SZ,5.52,5.52,TRUE
000980.SZ,1.4,1.4,TRUE
000981.SZ,1.93,1.93,TRUE
000982.SZ,1.26,1.26,TRUE
000983.SZ,4.18,4.18,TRUE
000985.SZ,14.58,14.58,TRUE
000987.SZ,17.3,17.3,TRUE
000988.SZ,23.47,23.47,TRUE
000989.SZ,9.32,9.32,TRUE
000990.SZ,13.7,13.7,TRUE
000993.SZ,6.69,6.69,TRUE
000995.SZ,7.47,7.47,TRUE
000996.SZ,9,9,TRUE
000997.SZ,17.26,17.26,TRUE
000998.SZ,19.2,19.2,TRUE
000999.SZ,26.96,26.96,TRUE
001696.SZ,8.31,8.31,TRUE
001872.SZ,15.3,15.3,TRUE
001896.SZ,3.9,3.9,TRUE
001914.SZ,27.25,27.25,TRUE
001965.SZ,6.94,6.94,TRUE
001979.SZ,15.75,15.75,TRUE
002001.SZ,31.74,31.74,TRUE
002002.SZ,4.01,4.01,TRUE
002003.SZ,6.35,6.35,TRUE
002004.SZ,5.37,5.37,TRUE
002005.SZ,1.29,1.29,TRUE
002006.SZ,5.97,5.97,TRUE
002007.SZ,50.03,50.03,TRUE
002008.SZ,34.72,34.72,TRUE
002009.SZ,9.43,9.43,TRUE
002010.SZ,5.96,5.96,TRUE
002011.SZ,3.93,3.93,TRUE
002012.SZ,7.06,7.06,TRUE
002013.SZ,11.38,11.38,TRUE
002014.SZ,11.31,11.31,TRUE
002015.SZ,5.58,5.58,TRUE
002016.SZ,6.88,6.88,TRUE
002017.SZ,11.82,11.82,TRUE
002019.SZ,27.62,27.62,TRUE
002020.SZ,11.56,11.56,TRUE
002021.SZ,2.62,2.62,TRUE
002022.SZ,18.09,18.09,TRUE
002023.SZ,16.25,16.25,TRUE
002024.SZ,9.28,9.28,TRUE
002025.SZ,47.03,47.03,TRUE
002026.SZ,10.08,10.08,TRUE
002027.SZ,7.57,7.57,TRUE
002028.SZ,24.45,24.45,TRUE
002029.SZ,5.89,5.89,TRUE
002030.SZ,33.39,33.39,TRUE
002031.SZ,2.16,2.16,TRUE
002032.SZ,81.11,81.11,TRUE
002033.SZ,7.25,7.25,TRUE
002034.SZ,18.46,18.46,TRUE
002035.SZ,10.63,10.63,TRUE
002036.SZ,11.4,11.4,TRUE
002037.SZ,7.4,7.4,TRUE
002038.SZ,12.96,12.96,TRUE
002039.SZ,15.77,15.77,TRUE
002040.SZ,6.51,6.51,TRUE
002041.SZ,18.28,18.28,TRUE
002042.SZ,5.73,5.73,TRUE
